name,cell,school,class,time,distance,components,duration,description,upgrade,time_filter,distance_filter,components_filter,duration_filter
Брызги кислоты,0,Воплощение,"Чародей, волшебник",Действие, 60 футов,"Вербальный, Соматический",Мгновенная,"Вы бросаете кислотный шарик в точку в пределах дальности, где он взрывается сферой в радиусе 5 фт. Каждое существо в этой сфере должно преуспеть в спаброске Ловкости или получить 1к6 урона кислотой.","Урон увеличивается на 1к6, когда вы достигаете 5 уровня (2к6), 11 уровня (3к6) и 17 уровня (4к6).",Действие,60-119 фт,"Вербальный, Соматический",Мгновенно
Защита от оружия,0,Ограждение,"Бард, волшебник, колдун, чародей",Действие,На себя,"Вербальный, Соматический","Концентрация, до 1 минуты","Каждый раз, когда существо совершает атаку по вам до окончания длительности заклинания, то атакующий вычитает 1к4 из броска атаки.",NaN,Действие,На себя,"Вербальный, Соматический",Концентрация минуту и менее
Могильное прикосновение,0,Некромантия,"Волшебник, колдун, чародей",Действие,Касание,"Вербальный, Соматический",Мгновенная,"Направляя холод могилы, совершите рукопашную атаку заклинанием по цели в пределах досягаемости. При попадании цель получает 1к10 урона некротической энергией и не может восстанавливать хиты до конца вашего следующего хода","Урон увеличивается на 1к10, когда вы достигаете 5 уровня (2к10), 11 уровня (3к10) и 17 уровня (4к10).",Действие,Касание,"Вербальный, Соматический",Мгновенно
Пляшущие огоньки,0,Воплощение,"Бард, волшебник, чародей",Действие,120 футов,"Вербальный, Соматический, Материальный (кусочек фосфора)","Концентрация, до 1 минуты","Вы создаёте до четырёх огоньков размером с факел в пределах дистанции, делая их похожими на факелы, фонари или светящиеся сферы, парящие в воздухе. Вы можете также объединить четыре огонька в одну светящуюся человекоподобную фигуру Среднего размера. Какую бы форму вы не выбрали, каждый огонёк излучает тусклый свет в радиусе 10 футов. Вы можете бонусным действием в свой ход переместить огоньки на 60 футов в новое место в пределах дистанции. Каждый огонёк должен находиться в пределах 20 футов от другого огонька, созданного этим заклинанием, и огонёк тухнет, если оказывается за пределами дистанции заклинания.",NaN,Действие,120 фт и больше,"Вербальный, Соматический, Материальный не расходуемый",Концентрация минуту и менее
Элементализм,0,Преобразование,"друид, волшебник, чародей",Действие,30 футов,"Вербальный, Соматический",Мгновенная,"Вы управляете стихиями, создавая один из следующих эффектов в пределах досягаемости. 
*Воззвать Воздух.* Вы создаете ветерок, достаточно сильный, чтобы колыхать ткань, поднимать пыль, шевелить листья и закрывать открытые двери и ставни в пределах 5-футового куба. Двери и ставни, которые кто-то или что-то держит открытыми, не будут затронуты. 
*Воззвать Землю.* Вы создаете тонкую завесу из пыли или песка, покрывающую местность на площади 5 футов или заставляете одно слово появиться на песке или в грязи вашим почерком. 
*Воззвать Огонь.* Вы создаете тонкое облако безвредных искр и цветного, ароматного дыма в пределах 5-футового куба. Вы выбираете цвет и запах, а искры могут зажечь свечи, факелы или лампы в этой области. Запах дыма остается в течение 1 минуты. 
*Воззвать Воду.* Вы создаете струю прохладного тумана, которая слегка увлажняет существа и предметы в пределах 5-футового куба. В качестве альтернативы, вы создаете 1 чашку чистой воды в открытом контейнере или на поверхности, и вода испаряется через 1 минуту. 
*Ваяние Стихии.* Вы заставляете грязь, песок, огонь, дым, туман или воду, которые могут поместиться в 1-футовый куб, принять грубую форму (например, существа) на 1 час.",NaN,Действие,30 фт,"Вербальный, Соматический",Мгновенно
Дружба,0,Очарование,"Бард, волшебник, чародей, колдун",Действие,10 футов,"Соматический, Материальный (немного грима)","Концентрация, до 1 минуты","Вы магически излучаете чувство дружелюбия к одному существу, которого видите в пределах дистанции. Цель должна преуспеть в спасброске Мудрости, иначе она получит состояние очарованный на время действия заклинания. Цель автоматически преуспеет, если она не является гуманоидом, если вы сражаетесь с ней, или если вы накладывали это заклинание на неё в течение последних 24 часов. Заклинание заканчивается досрочно, если цель получает урон, или если вы совершаете бросок атаки, наносите урон или заставляете кого-либо совершить спасбросок. Когда заклинание заканчивается, то цель осознаёт, что была очарована вами.",NaN,Действие,до 30 фт,"Соматический, Материальный не расходуемый",Концентрация минуту и менее
Огненный снаряд,0,Воплощение,"Волшебник, чародей",Действие,120 футов,"Вербальный, Соматический",Мгновенная,"Вы метаете частицу огня в существо или объект в пределах дистанции. Совершите дальнобойную атаку заклинанием против цели. В случае попадания цель получает 1к10 урона огнём. Легковоспламеняющийся предмет, поражённый этим заклинанием, начинает гореть, если он не надет и не несётся.","Урон увеличивается на 1к10, когда вы достигаете 5 уровня (2к10), 11 уровня (3к10) и 17 уровня (4к10).",Действие,120 фт и больше,"Вербальный, Соматический",Мгновенно
Электрошок,0,Воплощение,"Чародей, волшебник",Действие,Касание,"Вербальный, Соматический",Мгновенная,"Из вас вырывается молния к существу, которое вы пытаетесь коснуться. Совершите рукопашную атаку заклинанием против цели. При попадании цель получает 1к8 урона электричеством и не может совершать провоцированные атаки до начала своего следующего хода.","Урон увеличивается на 1к8, когда вы достигаете 5 уровня (2к8), 11 уровня (3к8) и 17 уровня (4к8).",Действие,Касание,"Вербальный, Соматический",Мгновенно
Луч холода,0,Воплощение,"Чародей, волшебник",Действие,60 футов,"Вербальный, Соматический",Мгновенная,"Луч синевато-белого света направляется к существу в пределах дистанции. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает 1к8 урона холодом, и её скорость уменьшается на 10 футов до начала вашего следующего хода.","Урон увеличивается на 1к8, когда вы достигаете 5 уровня (2к8), 11 уровня (3к8) и 17 уровня (4к8).",Действие,60-119 фт,"Вербальный, Соматический",Мгновенно
Фокусы,0,Преобразование,"Бард, колдун, чародей, волшебник",Действие,10 футов,"Вербальный, Соматический",До 1 часа,"Вы создаете магический эффект в пределах дистанции. Выберите эффект из приведенных ниже вариантов. Если вы накладываете это заклинание несколько раз, то вы можете иметь до трех его не мгновенных эффектов одновременно. 
*Сенсорный эффект.* Вы создаете мгновенный безвредный сенсорный эффект, такой как искры, дуновение ветра, слабые музыкальные ноты или странный запах. 
*Огонь.* Вы мгновенно зажигаете или гасите свечу, факел или небольшой костер. 
*Грязь.* Вы мгновенно очищаете или загрязняете объект размером не более 1 кубического фута. 
*Легкое воздействие.* Вы охлаждаете, нагреваете или придаете вкус до 1 кубическому футу неживого материала на 1 час. 
*Магическая метка.* Вы создаете небольшой знак, символ или меняете цвет на объекте или поверхности на 1 час. 
*Малое создание.* Вы создаете немагическую безделушку или иллюзорное изображение, которое помещается в вашей руке. Оно существует до конца вашего следующего хода. Безделушка не может наносить урон и не имеет материальной ценности.",NaN,Действие,до 30 фт,"Вербальный, Соматический",Больше минуты
Ядовитые брызги,0,Некромантия,"Друид, волшебник, колдун, чародей",Действие,30 футов,"Вербальный, Соматический",Мгновенная,Вы выпускаете ядовитое облако в существо в пределах дистанции. Совершите дальнобойную атаку заклинанием по цели. При попадании цель получает 1к12 урона ядом.,"Урон увеличивается на 1к12, когда вы достигаете 5 уровня (2к12), 11 уровня (3к12) и 17 уровня (4к12).",Действие,30 фт,"Вербальный, Соматический",Мгновенно
